antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'IsHTTPS'}),frozenset({'NoOfImage'}),0.7819488141165041,0.6381855050525019,0.6196135358476285,0.7923965413870568,1.2416398290366504,0.12058513698548234,1.7428153527156147,0.892512755251063
frozenset({'NoOfImage'}),frozenset({'IsHTTPS'}),0.6381855050525019,0.7819488141165041,0.6196135358476285,0.9708987918750276,1.2416398290366504,0.12058513698548234,7.492856823919321,0.53788189090346
frozenset({'HasDescription'}),frozenset({'NoOfImage'}),0.4412085336165069,0.6381855050525019,0.4265000762535232,0.9666632527652601,1.514705747956051,0.14492718539399896,10.853323283156275,0.6081083679824311
frozenset({'HasSocialNet'}),frozenset({'NoOfImage'}),0.4579278246281935,0.6381855050525019,0.45490592574601363,0.9934009275705545,1.5566021473471572,0.16266302570807645,54.82808361566995,0.6596447902292569
frozenset({'NoOfImage'}),frozenset({'HasSocialNet'}),0.6381855050525019,0.4579278246281935,0.45490592574601363,0.7128114351462583,1.5566021473471572,0.16266302570807645,1.8875130896937733,0.9882829223415691
frozenset({'HasCopyrightInfo'}),frozenset({'NoOfImage'}),0.4876610502651928,0.6381855050525019,0.4770137990634938,0.9781666975537435,1.5327309846582495,0.16579558540556816,16.571679700682868,0.678398136627471
frozenset({'NoOfImage'}),frozenset({'HasCopyrightInfo'}),0.6381855050525019,0.4876610502651928,0.4770137990634938,0.7474532017524451,1.5327309846582495,0.16579558540556816,2.0286891510404157,0.960629808024147
frozenset({'label'}),frozenset({'NoOfImage'}),0.5732005580628216,0.6381855050525019,0.5676594687106377,0.9903330705557747,1.5517949917623128,0.20185118106693994,37.4280682439069,0.8331430303809126
frozenset({'NoOfImage'}),frozenset({'label'}),0.6381855050525019,0.5732005580628216,0.5676594687106377,0.8894897552772493,1.5517949917623128,0.20185118106693994,3.8620803257466076,0.9827825733516321
frozenset({'IsHTTPS'}),frozenset({'NoOfJS'}),0.7819488141165041,0.6637727983913331,0.6266909924819675,0.8014475898784285,1.2074125240153755,0.10765463993707125,1.6933926986975305,0.7878088354785253
